Depth,Porosity,Prediction
-0.04413030340530592,[0.007164],-0.006720305021804873
-0.04390511154776934,[0.012537],-0.006301648559025652
-0.04367843816485426,[0.024478],-0.036102964124991754
-0.04345324630731767,[0.016119],-0.016721609781305047
-0.043228054449781256,[0.006567],0.01045407775976176
-0.04300138106686618,[0.021493],-0.07155333687678864
-0.04277618920932976,[0.037015],-0.112718128681846
-0.04254951582641468,[0.02209],-0.07157447544234702
-0.0423243239688781,[0.006567],-0.041428727022042644
-0.041872458728426605,[0.002388],-0.16100112797898503
-0.04164726687089002,[0.020299],-0.46857711415540326
-0.041420593487974944,[0.013731],-0.3336280479039922
-0.04119540163043853,[0.014328],-0.16684908833266854
-0.040970209772901944,[0.022687],0.1382330249324372
-0.04074353638998703,[0.027463],0.28294956845962493
-0.04051834453245045,[0.023284],0.2808249127064941
-0.04029167114953537,[0.019104],0.20029486048543227
-0.04006647929199878,[0.021493],0.07089371956757456
-0.03984128743446237,[0.013134],0.016586789927557855
-0.03961461405154729,[0.005373],0.060449625958842096
-0.03893755695355921,[0.009552],0.03244078118195695
-0.038712365096022626,[0.023284],0.014362353618343343
-0.03848569171310755,[0.025672],0.094870272565867
-0.038260499855570965,[0.035224],0.1596158578730017
-0.03803382647265605,[0.035224],0.2352692791757524
-0.03780863461511947,[0.014925],0.3109142745614663
-0.037583442757583053,[0.015522],0.29153804320078136
-0.037356769374667975,[0.010746],0.2615683055896056
-0.03713157751713139,[0.014925],0.2649874647146496
-0.03690490413421631,[0.023284],0.3182593294550143
-0.0366797122766799,[0.028657],0.3443103090556481
-0.03645452041914331,[0.020896],0.3621947946576015
-0.035325598080703735,[0.00597],0.2882887655861022
-0.03509892469778866,[0.022687],0.22728548415817634
-0.034873732840252074,[0.032836],0.22918400787174603
-0.03464705945733716,[0.04597],0.15681375316232907
-0.03442186759980058,[0.060299],0.17772573034625788
-0.034196675742263996,[0.067463],0.17793776202076905
-0.03397000235934892,[0.069254],0.13513359351057952
-0.0337448105018125,[0.078209],0.07643153269181714
-0.03351813711889742,[0.078806],0.06576712509039456
